Original entry,New entry
Paki st an economi c and soci al revi ew,Pakistan economic and social review
Oecd report,Report
Nicotine tobacco research,Nicotine and tobacco research
Nber,Nber paper series
Natural hazard,Natural hazards
Managerial and decision,Managerial and decision economics
Labour economic,Labour economics
Journal of public health management & practice,Journal of public health management and practice
Journal of public budget accounting financial management,Journal of public budgeting accounting and financial management
Journal of psychologv,Journal of psychology
Journal of multinational financial management.,Journal of multinational financial management
Journal of marriage and the family,Journal of marriage and family
Journal of experimental psychology-applied,Journal of experimental psychology: applied
Journal of applied behaviour analysis,Journal of applied behavior analysis
Journal 0f environmental psychology,Journal of environmental psychology
International research journal of finance and economics issue,International research journal of finance and economics
In technical report. ices.,Report
Government report,Report
Government document,Report
European sociology review,European sociological review
European commission technical reports,Report
Economic system research,Economic systems research
Economic enquiry,Economic inquiry
Economia societa e istituzioni,Economia societa' e istituzioni
"Druid 2011 on innovation strategy and structure. university of southern
denmark",Working paper
Corporate governance international journal of business in society,Corporate governance: the international journal of business in society 
Br j soc psychol,British Journal of Social Psychology
Adv health econ health serv res,Advances in Health Economics and Health Services Research
Journal of of business and psychology,Journal of business and psychology
Journal ofcommunityandapplied social psychology,Journal of community and applied social psychology
The international journal of human resource management,International journal of human resource management
The world economy,World economy
Agriculture economics,Agricultural economics
